증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
유가증권,  산일전기 ,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,박동석,http://www.sanil.co.kr,경기도
유가증권,  에이치에스효성 ,487570,기타 금융업,지주사업,2024-07-29,12월,조현상..,http://www.hshyosung.com,서울특별시
"코스닥, 투자주의종목",  엔에이치스팩31호  ,481890,금융 지원 서비스업,금융지원서비스업,2024-07-26,12월,이시형,,서울특별시
코스닥,  SK증권제13호스팩 ,473950,금융 지원 서비스업,기업인수목적 주식회사,2024-07-25,12월,임율표,,서울특별시
코스닥,  엑셀세라퓨틱스 ,373110,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지),2024-07-15,12월,이의일,,서울특별시
코스닥,  이베스트스팩6호 ,478110,금융 지원 서비스업,기업인수목적 주식회사,2024-07-12,12월,박용,,서울특별시
유가증권,  시프트업 ,462870,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,http://shiftup.co.kr,서울특별시
코스닥,  하스 ,450330,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관",2024-07-03,12월,김용수,http://www.hassbio.com,강원특별자치도
코스닥,  이노스페이스 ,462350,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역",2024-07-02,12월,김수종,http://www.innospc.com/,세종특별자치시
유가증권,  신한글로벌액티브리츠 ,481850,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,02월,김선영,http://shglobalreit.com,서울특별시
코스닥,  에이치브이엠 ,295310,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,http://hvm.co.kr/,경기도
코넥스,  팡스카이 ,266350,소프트웨어 개발 및 공급업,게임 개발 및 리퍼블리싱,2024-06-28,12월,조호현..,http://www.panggame.com/,서울특별시
코스닥,  하이젠알앤엠 ,160190,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)",2024-06-27,12월,김재학,http://higenrnm.com,경상남도
코스닥,  한국제15호스팩 ,479880,금융 지원 서비스업,기업인수합병,2024-06-26,12월,유한,,서울특별시
코스닥,  에스오에스랩 ,464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",산업용 및 차량용 라이다(LiDAR),2024-06-25,12월,정지성,http://soslab.co,광주광역시
유가증권,  산일전기 ,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,박동석,http://www.sanil.co.kr,경기도
유가증권,  에이치에스효성 ,487570,기타 금융업,지주사업,2024-07-29,12월,조현상..,http://www.hshyosung.com,서울특별시
"코스닥, 투자주의종목",  엔에이치스팩31호  ,481890,금융 지원 서비스업,금융지원서비스업,2024-07-26,12월,이시형,,서울특별시
코스닥,  SK증권제13호스팩 ,473950,금융 지원 서비스업,기업인수목적 주식회사,2024-07-25,12월,임율표,,서울특별시
코스닥,  엑셀세라퓨틱스 ,373110,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지),2024-07-15,12월,이의일,,서울특별시
코스닥,  이베스트스팩6호 ,478110,금융 지원 서비스업,기업인수목적 주식회사,2024-07-12,12월,박용,,서울특별시
유가증권,  시프트업 ,462870,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,http://shiftup.co.kr,서울특별시
코스닥,  하스 ,450330,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관",2024-07-03,12월,김용수,http://www.hassbio.com,강원특별자치도
코스닥,  이노스페이스 ,462350,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역",2024-07-02,12월,김수종,http://www.innospc.com/,세종특별자치시
유가증권,  신한글로벌액티브리츠 ,481850,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,02월,김선영,http://shglobalreit.com,서울특별시
코스닥,  에이치브이엠 ,295310,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,http://hvm.co.kr/,경기도
코넥스,  팡스카이 ,266350,소프트웨어 개발 및 공급업,게임 개발 및 리퍼블리싱,2024-06-28,12월,조호현..,http://www.panggame.com/,서울특별시
코스닥,  하이젠알앤엠 ,160190,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)",2024-06-27,12월,김재학,http://higenrnm.com,경상남도
코스닥,  한국제15호스팩 ,479880,금융 지원 서비스업,기업인수합병,2024-06-26,12월,유한,,서울특별시
코스닥,  에스오에스랩 ,464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",산업용 및 차량용 라이다(LiDAR),2024-06-25,12월,정지성,http://soslab.co,광주광역시
유가증권,  산일전기 ,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,박동석,http://www.sanil.co.kr,경기도
유가증권,  에이치에스효성 ,487570,기타 금융업,지주사업,2024-07-29,12월,조현상..,http://www.hshyosung.com,서울특별시
"코스닥, 투자주의종목",  엔에이치스팩31호  ,481890,금융 지원 서비스업,금융지원서비스업,2024-07-26,12월,이시형,,서울특별시
코스닥,  SK증권제13호스팩 ,473950,금융 지원 서비스업,기업인수목적 주식회사,2024-07-25,12월,임율표,,서울특별시
코스닥,  엑셀세라퓨틱스 ,373110,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지),2024-07-15,12월,이의일,,서울특별시
코스닥,  이베스트스팩6호 ,478110,금융 지원 서비스업,기업인수목적 주식회사,2024-07-12,12월,박용,,서울특별시
유가증권,  시프트업 ,462870,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,http://shiftup.co.kr,서울특별시
코스닥,  하스 ,450330,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관",2024-07-03,12월,김용수,http://www.hassbio.com,강원특별자치도
코스닥,  이노스페이스 ,462350,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역",2024-07-02,12월,김수종,http://www.innospc.com/,세종특별자치시
유가증권,  신한글로벌액티브리츠 ,481850,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,02월,김선영,http://shglobalreit.com,서울특별시
코스닥,  에이치브이엠 ,295310,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,http://hvm.co.kr/,경기도
코넥스,  팡스카이 ,266350,소프트웨어 개발 및 공급업,게임 개발 및 리퍼블리싱,2024-06-28,12월,조호현..,http://www.panggame.com/,서울특별시
코스닥,  하이젠알앤엠 ,160190,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)",2024-06-27,12월,김재학,http://higenrnm.com,경상남도
코스닥,  한국제15호스팩 ,479880,금융 지원 서비스업,기업인수합병,2024-06-26,12월,유한,,서울특별시
코스닥,  에스오에스랩 ,464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",산업용 및 차량용 라이다(LiDAR),2024-06-25,12월,정지성,http://soslab.co,광주광역시
